node_name,cpu-mem
full,0
arange,0
add,0
view,0
lt,0
_to_copy,0
unsqueeze,0
unsqueeze_1,0
slice_1,0
slice_2,0
expand,0
slice_3,0
unsqueeze_2,0
unsqueeze_3,0
slice_4,0
expand_1,0
_to_copy_1,0
rsub,0
_to_copy_2,0
masked_fill_1,0
_to_copy_3,0
masked_fill_2,0
pow_1,0
mean,0
rsqrt,0
mul,0
mul_1,0
t,0
mm,0
view_2,0
transpose,0
split_with_sizes,0
t_1,0
view_3,0
mm_1,0
split_with_sizes_1,0
view_5,0
transpose_1,0
view_6,0
view_7,0
transpose_2,0
clone,0
_unsafe_view,0
view_8,0
transpose_3,0
clone_1,0
_unsafe_view_1,0
mul_3,0
neg,0
mul_4,0
add_1,0
mul_5,0
slice_5,0
slice_6,0
neg_1,0
mul_6,0
add_2,0
squeeze,0
view_9,0
slice_7,0
slice_8,0
slice_9,0
slice_10,0
slice_11,0
slice_12,0
bmm,0
transpose_4,0
expand_2,0
view_13,0
expand_3,0
bmm_1,0
transpose_5,0
expand_4,0
view_16,0
expand_5,0
view_17,0
bmm_2,0
add_3,0
mul_7,0
add_4,0
_to_copy_4,0
_softmax,0
_to_copy_5,0
unsqueeze_4,0
permute,0
unsqueeze_5,0
unsqueeze_6,0
permute_1,0
permute_2,0
view_19,0
permute_3,0
view_20,0
bmm_3,0
view_21,0
permute_4,0
view_22,0
transpose_6,0
expand_6,0
view_23,0
expand_7,0
bmm_4,0
transpose_7,0
clone_3,0
view_26,0
t_2,0
view_27,0
mm_2,0
view_28,0
silu,0
mul_2,0
view_4,0
sigmoid,0
view_1,0
topk,0
sum_1,0
topk_1,0
zeros_like,0
bitwise_not,0
masked_fill,0
topk_2,0
gather,0
sum_2,0
div,0
view_12,0
view_15,0
view_18,0
view_25,0
